-,N1Bt,N2Bt,C2Bt,C1Bt,N3Bt,N2AB,C3Ae,C1AB,C2AB,N2Ae,N1AB,N3AB,C3AB,N1Ae,N3Ae,C2Ae,C1Ae,C2O,C1O,C3O,N1Ahe,C3Bt,N1O,N2O,N3O,N2Ahe
Nitrospirales,1.038819027,2.290809328,0.710205342,1.271794872,2.390514439,1.859935472,2.244139508,0.932247899,1.089324619,1.223314944,1.048411964,1.083238312,0.967054581,0.470366886,1.052205585,0.65245759,0.091785223,0.141542817,0.049285362,0.429799427,0.519978106,0.359150531,0.116572761,0.08663009,0.658189978,0.353007625
Spartobacteria,0.341716785,1.179698217,1.296896711,0.205128205,0.726716389,1.708104005,2.630074328,3.899684874,3.622004357,3.406092588,1.880974406,2.750855188,1.86854614,3.090982395,3.251045461,2.885312455,1.040232523,1.096956829,1.24856251,0.787965616,3.393541325,2.279825109,1.709733826,0.476465492,1.525804039,0.861338605
Other Verrucomicrobia,0.533078185,0.644718793,0.802840821,0.328205128,0.458978772,0.645283735,0.614636935,0.879726891,1.048474946,0.767570161,0.801726796,0.684150513,0.835928536,1.27671012,0.72845002,1.058431202,0.673091632,0.690021231,0.673566617,0.376074499,0.602079912,1.249219238,1.068583641,1.516026567,1.211667913,1.6944366
Other Bacteria,3.225806452,4.499314129,3.99876486,2.235897436,3.212851406,4.592901879,2.77301315,5.50157563,4.098583878,4.557447829,4.949121184,4.789053592,4.638583839,4.475204946,2.49561581,4.088734232,3.013614808,3.55626327,3.532117628,2.990687679,3.092501368,2.685821362,1.573732271,2.4833959,3.575168287,3.939565095
Crenarchaeota,0.013668671,0.027434842,0.030878493,0.020512821,0.076496462,0,0.014293882,0.157563025,0.068082789,0,0.030835646,0.071265678,0,0.040317162,0.053959261,0.014499058,0,0,0,0,0.027367269,0,0,0.014438348,0.014958863,0
Euryarchaeota,0,0,0,0,0.038248231,0,0,0.026260504,0,0.071959703,0.061671292,0.057012543,0.016390756,0,0.02697963,0.072495288,0,0,0,0,0,0.01561524,0,0,0,0
Apicomplexa,0.123018043,0.054869684,0.015439247,0.020512821,0.019124116,0.094894667,0.085763293,0.013130252,0.068082789,0.599664188,0.15417823,0.128278221,0.278642845,0.147829593,0.121408337,0.188487748,0.336545816,0.813871196,0.328569082,0.805873926,0.082101806,0.234228607,0.213716728,0.404273751,0.299177263,0.33888732
Ciliophora,0.068343357,0.082304527,0,0.082051282,0.057372347,0.189789334,0.114351058,0.026260504,0.204248366,0.047973135,0.092506938,0.142531357,0.327815112,0.080634323,0.094428706,0.260983036,1.116720208,0.796178344,1.314276327,0.949140401,0.027367269,0.265459088,0.252574315,0.216575224,0.448765894,0.098842135
Other Alveolata,0.027337343,0.013717421,0.015439247,0,0,0.037957867,0.014293882,0,0,0,0,0.042759407,0,0.026878108,0,0.028998115,0.061190148,0,0.032856908,0.017908309,0,0,0.019428793,0.028876697,0.014958863,0.014120305
Ascomycota,4.209950793,4.677640604,6.700633009,7.446153846,0.344234079,3.435186942,11.13493425,5.580357143,6.37254902,5.061165747,5.766265803,3.791334094,3.294541878,4.434887784,4.195332524,2.85631434,1.31558819,5.997876858,3.285690816,3.259312321,6.841817187,2.654590881,7.227511172,9.356049668,1.974569933,2.65461734
