name,radius,fillKey,latitude,longitude,mbs
3300001068,10,Marine,-15.83,-33.41,935.8
3300001074,10,Soil,44.21,-122.13,1535.4
3300001076,10,Soil,39.07,-96.58,2456.5
3300001105,10,Marine,21.06,-150.35,392.8
3300001112,10,Freshwater,48.97,-119.48,431.8
3300001114,10,Marine,-5.74,-170.77,435.6
3300001115,10,Marine,9.22,-163.53,448.3
3300001121,10,Marine,10.09,-99.25,603.4
3300001122,10,Marine,-3.03,-27.33,649.5
3300001123,10,Marine,32.08,-17.26,636.1
3300001125,10,Marine,7.33,-26,683.2
3300001126,10,Marine,-22.97,-36.95,763
3300001129,10,Marine,-29.65,92.99,921
3300001130,10,Non_marine_Saline_and_Alkaline,-77.39,161.93,1035.3
3300001135,10,Soil,35.91,-79.06,1038.5
3300001159,10,Soil,49.08,-89.38,4941.7
3300001164,10,Soil,38.88,-120.64,5393.2
3300001305,10,Soil,38.99,-123.07,76491.2
3300001354,10,Marine,54.18,7.9,5509.2
3300001356,10,Soil,50.13,11.88,6921.2
3300001380,10,Freshwater,43.1,-73.6,3195.2
3300001418,10,Soil,71.3,-156.61,2961.6
3300001446,10,Non_marine_Saline_and_Alkaline,44.38,-110.69,720.9
3300001461,10,Soil,31.11,-95.15,9992.4
3300001471,10,Soil,46.42,-83.37,13616.8
3300001475,10,Soil,39.24,-121.28,13176.9
3300001607,10,Soil,42.53,-72.17,816.9
3300001618,10,Soil,42.47,-72.21,1037.2
3300001628,10,Soil,42.47,-72.17,1173.4
3300001641,10,Soil,42.53,-72.18,1767.1
3300001648,10,Soil,42.53,-72.21,1894.5
3300001658,10,Soil,42.55,-72.18,2151.5
3300001676,10,Marine,-21.99,-176.57,107.9
3300001678,10,Marine,-20.18,-176.6,160.8
3300001679,10,Marine,-20.68,-176.18,213.6
3300001680,10,Marine,-20.05,-176.13,317.8
3300001681,10,Marine,-20.11,-176.99,429.1
3300001117,10,Marine,14.53,-118.77,496.1
3300001753,10,Marine,34.64,-77.11,10609.1
3300001854,10,Marine,34.65,-77.11,6569
3300002095,10,Freshwater,39.53,-107.78,463.7
3300002098,10,Freshwater,53.15,13.02,730.9
3300002117,10,Soil,43.3,-89.38,2023.4
3300002128,10,Soil,42.39,-85.37,12160
3300002153,10,Marine,73.02,9.86,9239.5
3300002154,10,Marine,78.87,8.11,10096.2
3300002158,10,Freshwater,47.77,-86.88,141.9
3300002161,10,Freshwater,41.47,-82.85,7281
3300002162,10,Soil,71.28,-156.6,3567.7
3300002176,10,Marine,0,158,3219.7
3300002178,10,Marine,8,156,3736.3
3300002183,10,Soil,71.27,-156.81,4244.5
3300002184,10,Freshwater,42.29,-81.36,8526.7
3300002186,10,Marine,71.2,8.87,12312.7
3300002307,10,Freshwater,53.17,13.03,817.4
3300002447,10,Freshwater,43.93,-78,6307.5
3300002522,10,Freshwater,-78.08,164.28,32.6
3300002525,10,Marine,36.25,-122.21,1570.9
3300002535,10,Freshwater,-78.05,164.11,26.5
3300002536,10,Freshwater,-78.05,164.02,27.2
3300002538,10,Soil,71.29,-156.79,3376.5
3300002547,10,Freshwater,-78.14,164.12,1314.4
3300002548,10,Freshwater,-78.05,163.81,2072.5
3300002672,10,Soil,42.53,-72.19,10.2
3300002756,10,Deep_subsurface,47.38,7.16,844.9
3300002776,10,Marine,48.73,-123.57,78.8
3300002908,10,Soil,39.72,-123.65,10237.8
3300002913,10,Marine,-37.98,-44.99,5361.3
3300002917,10,Soil,39.74,-123.63,10681.3
3300002919,10,Marine,-37.97,-44.99,2212.4
3300002956,10,Marine,-38,-45,3944.2
3300002966,10,Thermal_springs,44.61,-110.44,4478.1
3300000397,10,Thermal_springs,44.56,-110.83,33.5
test1,10,test,0,0,10
test2,10,test,-20,0,20
test3,10,test,-40,0,40
test4,10,test,-50,0,80
test5,10,test,-60,0,160
