Sample wise CAZY family counts 
=================================== 
GH	no	na	nb	nr	co	ca	cb	cr	PWCG7	CG23A	CO182	CO183	TOLDC	NAPDC	FOS62_2011	FOS62_2010	FOS62_2009
95	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
97	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	
98	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
103	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
106	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	1	1	
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
116	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

GT	no	na	nb	nr	co	ca	cb	cr	PWCG7	CG23A	CO182	CO183	TOLDC	NAPDC	FOS62_2011	FOS62_2010	FOS62_2009
1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
2	3	6	6	3	4	65	4	0	1	0	2	2	0	3	1	2	3	
3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	
4	2	6	2	1	4	54	4	1	0	2	0	2	0	3	2	1	1	
5	0	1	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1	0	0	0	2	5	0	0	0	1	0	1	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	
