,CG13,CG7,CG19,CG8u,cow rumen,Wallaby,Termite
GT_9,0.015538406,0.014166313,0.001420582,0.011649581,0.000984684,0.008680273,0.003182315
GT_10,0,0,0,0,4.28E-05,0,0
GT_11,0,0,0.000473527,0,0.000128437,0.002170068,0
GT_14,0,0,0,0,0.000299686,0,0
GT_19,0.00828715,0.010388629,0.002367637,0.004052028,0.001883743,0.005425171,0
GT_20,0,0.01086084,0.008523494,0.007597553,0,0,0
GT_21,0,0,0,0.000506504,0,0,0
GT_25,0,0,0,0,0,0.001085034,0
GT_26,0,0.005194315,0.004735274,0.002532518,0.00145562,0.006510205,0.004243086
GT_27,0,0.00047221,0.000947055,0,0,0,0
GT_28,0.005179469,0.005666525,0.010891131,0.005065035,0.003810299,0.021700682,0.011668488
GT_29,0,0,0.000947055,0,0,0,0.004243086
GT_30,0.007769203,0.007555367,0.000473527,0.003039021,0.002568741,0.011935375,0.013790031
GT_32,0.005697415,0,0,0,0.00201218,0.003255102,0.008486173
GT_35,0.015020459,0.029277046,0.020835208,0.046091819,0.009076217,0.057506809,0.061524753
GT_39,0,0,0,0,8.56E-05,0,0
GT_41,0.000517947,0.000944421,0.008997022,0,0,0.001085034,0.001060772
GT_47,0.017092246,0.007555367,0.007102912,0.010636574,0.000513748,0.008680273,0.008486173
GT_51,0.021753768,0.042971148,0.023676372,0.017727623,0.005394355,0.039061228,0.019093889
GT_66,0.002589734,0.00047221,0.029358702,0.015701609,8.56E-05,0,0
GT_74,0.000517947,0,0,0,0,0,0
GT_76,0,0,0.001420582,0,0,0,0
GT_80,0.000517947,0,0,0,0,0,0
GT_81,0,0,0.00189411,0.000506504,0,0,0
GT_82,0.007769203,0,0,0.000506504,0,0,0
GT_83,0,0.002361052,0,0.005065035,8.56E-05,0,0
GT_84,0,0.044387779,0.010891131,0.051663358,0.000428123,0.005425171,0
PL_1,0,0,0,0,0.001327183,0.010850341,0.005303858
PL_9,0,0,0.000473527,0.001013007,0.000256874,0.001085034,0.001060772
PL_10,0,0.00047221,0,0,0.000256874,0.003255102,0
PL_11,0,0,0,0,0.000941872,0.007595239,0.004243086
PL_12,0,0.00047221,0,0,4.28E-05,0,0
PL_21,0,0,0,0,0,0.001085034,0
PL_22,0,0,0,0,0.000214062,0,0.004243086
